TOA5,DB_METS,CR1000,73738,CR1000.Std.32.05,CPU:METS_V5.CR1,20519,Daily,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AirTemp_Max,AirTemp_TMx,AirTemp_Min,AirTemp_TMn,AirTemp_Avg,RH_Max,RH_TMx,RH_Min,RH_TMn,RH_Avg,WS_2m_Avg,WindDir_2m_Avg,WindDir_SD_2m,WS_2m_Max,WS_2m_TMx,WindDir_SMM,WS_3m_Avg,WS_3m_Max,WS_3m_TMx,WindRun_2m_Tot,WindRun_3m_Tot,SrW_Avg,SrW_Max,SrW_TMx,SrMJ_Tot,Vap_Press_Avg,Rain_Tot,Program_Signature
TS,RN,Deg C,,Deg C,,Deg C,%,,%,,%,m/s,Deg,Deg,m/s,,Degrees,m/s,m/s,,km/day,km/day,W/m^2,W/m^2,,MJ/m^2,kPa,inches,arb
,,Max,TMx,Min,TMn,Avg,Max,TMx,Min,TMn,Avg,WVc,WVc,WVc,Max,TMx,SMM,Avg,Max,TMx,Tot,Tot,Avg,Max,TMx,Tot,Avg,Tot,Smp
3/26/2022 0:00,0,25.51,3/25/2022 16:30,-3.16,3/25/2022 23:58,9.91,85.9,3/25/2022 23:59,41.85,3/25/2022 14:55,55.01,9.58,79.07,63.58,8.2,3/25/2022 14:38,145.8,2.706,8.2,3/25/2022 14:38,155.5,161.3,393.2,959.2797,3/25/2022 11:47,4685.894,0.636,0.02,40931
3/27/2022 0:00,1,16.96,3/26/2022 15:07,-2.69,3/26/2022 3:46,7.08,94.9,3/26/2022 4:05,9.19,3/26/2022 15:32,48.42,5.9,280.5,56.47,9.7,3/26/2022 13:16,319.7,1.789,9.95,3/26/2022 13:16,152.5,154.5,266.4,1202.539,3/26/2022 11:15,4603.566,0.596,0,40931
3/28/2022 0:00,2,25.14,3/27/2022 16:56,1.8,3/27/2022 6:39,12,85.4,3/27/2022 6:40,31.65,3/27/2022 17:18,56.95,5.22,65.61,54.04,6.45,3/27/2022 10:02,50.78,2.064,6.45,3/27/2022 10:02,167.3,178.4,190.5,949.5675,3/27/2022 10:11,3292.544,0.638,0,40931
3/29/2022 0:00,3,12.03,3/28/2022 14:45,-1.07,3/28/2022 5:48,7.33,93.6,3/28/2022 5:20,6.364,3/28/2022 14:41,47.81,15.5,224,52.91,15.45,3/28/2022 14:46,180.2,1.82,16.45,3/28/2022 14:46,150.8,157.2,231.2,1519.764,3/28/2022 12:19,3994.753,0.524,0,40931
3/30/2022 0:00,4,10.2,3/29/2022 12:41,-3.43,3/29/2022 23:51,2.46,91.1,3/29/2022 19:02,21.51,3/29/2022 2:12,50.68,15.42,305.4,62.36,14.95,3/29/2022 15:38,6.925,4.907,15.2,3/29/2022 15:38,398.3,423.9,186.1,1278,3/29/2022 10:27,3215.126,0.662,0.17,40931
3/31/2022 0:00,5,18.14,3/30/2022 12:50,-7.28,3/30/2022 23:01,7.07,93.9,3/30/2022 23:09,32.45,3/30/2022 13:03,65.11,7.25,333,47.72,12.2,3/30/2022 0:17,343,3.762,12.95,3/30/2022 0:17,308.6,325,206.8,1361.412,3/30/2022 12:54,3574.36,0.493,0,40931
4/1/2022 0:00,6,14.39,3/31/2022 15:28,-0.29,3/31/2022 5:24,7.43,95.7,3/31/2022 5:15,13.68,3/31/2022 15:29,54.18,13.33,192.9,70.99,5.7,3/31/2022 15:31,138.4,1.507,6.2,3/31/2022 16:20,124.9,130.2,302.8,974.1274,3/31/2022 11:57,5232.497,0.451,0,40931
4/2/2022 0:00,7,19.56,4/1/2022 15:05,-3.74,4/1/2022 23:43,8.28,76.65,4/1/2022 23:40,24.91,4/1/2022 15:05,48.62,7.1,5.285,72.66,13.2,4/1/2022 10:53,350,2.893,14.45,4/1/2022 10:53,238.1,250,224.6,1379.42,4/1/2022 11:52,3881.798,0.514,0,40931
4/3/2022 0:00,8,13.92,4/2/2022 15:37,0.89,4/2/2022 5:52,8.69,90.5,4/2/2022 5:26,11.16,4/2/2022 16:52,50.12,12.95,122,79.88,7.7,4/2/2022 14:45,85.3,1.714,7.7,4/2/2022 13:56,142.5,148.1,309.4,984.591,4/2/2022 12:11,5346.323,0.51,0,40931
4/4/2022 0:00,9,20.75,4/3/2022 11:38,-3.84,4/3/2022 4:24,10.18,84,4/3/2022 23:54,20.35,4/3/2022 10:33,51.13,9.05,8.45,66.15,10.45,4/3/2022 17:33,10.23,3.113,10.45,4/3/2022 17:33,260.6,268.9,210.6,1219.057,4/3/2022 11:51,3639.393,0.581,0,40931
4/5/2022 0:00,10,14.97,4/4/2022 15:03,1.9,4/4/2022 3:01,8.29,94.3,4/4/2022 6:31,17.71,4/4/2022 16:32,55.94,20.6,197.6,63.97,9.95,4/4/2022 15:01,263.7,2.994,11.2,4/4/2022 15:01,239.2,258.7,255.6,1304.743,4/4/2022 10:25,4417.288,0.697,0.13,40931
4/6/2022 0:00,11,10.27,4/5/2022 10:48,-1.11,4/5/2022 23:57,4.35,56.79,4/5/2022 5:18,12.2,4/5/2022 10:49,31.75,18.88,21.65,86.7,22.45,4/5/2022 11:00,274.5,4.486,24.7,4/5/2022 11:00,374.3,387.6,303.7,1054.824,4/5/2022 13:15,5247.409,0.497,0,40931
4/7/2022 0:00,0,12.97,4/6/2022 14:55,-1.47,4/6/2022 23:58,5.4,26.22,4/6/2022 23:59,5.667,4/6/2022 11:37,12.78,17.38,328,35.4,15.45,4/6/2022 9:59,351.4,4.998,15.95,4/6/2022 9:59,255.5,270.7,438.2,1014.001,4/6/2022 12:03,23.73559,0.14,0,40931
4/8/2022 0:00,1,19.76,4/7/2022 14:34,-6.91,4/7/2022 5:57,7.52,53.5,4/7/2022 23:43,11.37,4/7/2022 15:50,28,7.1,326.5,45.1,15.7,4/7/2022 11:41,343.2,4.509,16.45,4/7/2022 11:41,372,389.6,313.7,1031.413,4/7/2022 10:36,27.10275,0.248,0,40931
4/9/2022 0:00,2,26.46,4/8/2022 15:47,0.86,4/8/2022 5:46,12.89,80.2,4/8/2022 4:43,11.64,4/8/2022 16:07,37.05,15.42,239.2,59.81,6.95,4/8/2022 12:30,331.2,1.093,7.2,4/8/2022 12:30,95.6,94.4,321.3,1005.752,4/8/2022 11:46,27.75893,0.329,0,40931
4/10/2022 0:00,3,9.73,4/9/2022 12:17,0.28,4/9/2022 5:02,5.64,74.74,4/9/2022 5:52,4.679,4/9/2022 13:09,29.34,17.98,258.1,43.04,9.45,4/9/2022 13:55,236.5,2.644,10.2,4/9/2022 14:13,214.7,228.5,256.8,1180.609,4/9/2022 12:21,22.18933,0.352,0,40931
4/11/2022 0:00,4,18.85,4/10/2022 15:27,-5.93,4/10/2022 23:49,6.99,64.85,4/10/2022 6:29,15.64,4/10/2022 21:31,37.03,8.6,84.6,79.02,14.2,4/10/2022 17:46,35.08,3.257,14.2,4/10/2022 2:05,266.7,281.4,299.6,1036.866,4/10/2022 11:23,25.88389,0.47,0,40931
4/12/2022 0:00,5,14.43,4/11/2022 16:21,-7.08,4/11/2022 3:39,5.28,65.92,4/11/2022 3:39,11.67,4/11/2022 15:59,33.55,16.1,176.2,40.11,13.45,4/11/2022 14:46,184.3,4.15,15.2,4/11/2022 12:46,324.9,358.5,307.8,991.5646,4/11/2022 11:46,26.59582,0.421,0,40931
4/13/2022 0:00,6,6.7,4/12/2022 12:30,-10.96,4/12/2022 23:45,-2.53,51.67,4/12/2022 23:45,11.69,4/12/2022 13:01,25.32,14.53,250.8,51.17,19.2,4/12/2022 13:01,258.9,6.354,19.2,4/12/2022 13:01,512,549,304.2,1077.415,4/12/2022 10:37,26.28221,0.408,0,40931
4/14/2022 0:00,7,14.6,4/13/2022 14:23,-9.38,4/13/2022 3:27,4.39,72.85,4/13/2022 7:30,7.573,4/13/2022 16:30,38.56,11.68,185.1,88.8,13.95,4/13/2022 14:57,297.8,3.157,15.7,4/13/2022 14:57,255.3,272.8,281.4,1308.784,4/13/2022 11:46,24.31396,0.253,0,40931
4/15/2022 0:00,8,14.06,4/14/2022 15:34,-3.67,4/14/2022 5:52,4.21,66.45,4/14/2022 5:34,8.08,4/14/2022 15:51,29.43,8.9,264.4,82.9,7.45,4/14/2022 11:43,205.1,1.301,7.95,4/14/2022 11:43,112.8,112.4,323.7,1093.951,4/14/2022 12:22,27.96819,0.25,0,40931
4/16/2022 0:00,9,16.75,4/15/2022 15:19,-4.48,4/15/2022 5:36,5.36,71.87,4/15/2022 4:59,6.908,4/15/2022 16:29,32.64,15.8,332.6,80,14.95,4/15/2022 17:20,75.53,3.004,14.7,4/15/2022 17:01,242.6,259.5,328.7,1018.058,4/15/2022 11:50,28.39938,0.36,0,40931
4/17/2022 0:00,10,18.98,4/16/2022 15:35,-3.4,4/16/2022 5:24,8.35,73.31,4/16/2022 5:26,25.9,4/16/2022 14:51,44.87,13.92,107.3,23.68,12.95,4/16/2022 12:21,132.2,4.808,13.95,4/16/2022 14:51,383,415.4,321.7,1003.474,4/16/2022 11:45,27.79779,0.423,0,40931
4/18/2022 0:00,11,18.55,4/17/2022 14:58,-5.16,4/17/2022 5:30,7.16,74.55,4/17/2022 5:35,8.25,4/17/2022 15:34,42.61,12.42,45.37,91.3,14.95,4/17/2022 16:21,57.81,2.571,15.2,4/17/2022 16:21,212.2,222.1,309,1069.109,4/17/2022 13:50,26.69477,0.518,0,40931
4/19/2022 0:00,12,27.57,4/18/2022 15:31,-1.21,4/18/2022 5:35,14.09,71.82,4/18/2022 2:16,25.94,4/18/2022 15:32,45.63,11.75,105.1,45.96,13.2,4/18/2022 16:07,159.1,4.536,13.7,4/18/2022 16:07,356.9,391.9,321,1003.889,4/18/2022 11:45,27.73249,0.548,0,40931
4/20/2022 0:00,13,24.06,4/19/2022 11:58,7.28,4/19/2022 5:44,15.13,79.08,4/19/2022 5:47,10.18,4/19/2022 11:42,35.5,12.8,238.8,50.26,10.45,4/19/2022 17:44,240.7,3.583,11.45,4/19/2022 17:44,285.1,309.6,286.4,1298.993,4/19/2022 12:14,24.74623,0.546,0,40931
4/21/2022 0:00,14,26.83,4/20/2022 16:06,6.03,4/20/2022 23:59,16.71,49.68,4/20/2022 23:58,15.38,4/20/2022 1:29,28.57,15.12,88.2,67.6,11.7,4/20/2022 5:10,15.65,4.901,11.7,4/20/2022 4:05,385.6,423.5,320,1012.806,4/20/2022 11:52,27.64501,0.571,0,40931
